longitude,latitude,year,month,day,hour,PV_power,WS10m
-4.48333,48.400002,2022,01,10,23,0.0,2.14
-4.48333,48.400002,2022,01,11,00,0.0,2.0
-4.48333,48.400002,2022,01,11,01,0.0,1.86
-4.48333,48.400002,2022,01,11,02,0.0,1.79
-4.48333,48.400002,2022,01,11,03,0.0,1.93
-4.48333,48.400002,2022,01,11,04,0.0,1.86
-4.48333,48.400002,2022,01,11,05,0.0,1.79
-4.48333,48.400002,2022,01,11,06,0.0,1.66
-4.48333,48.400002,2022,01,11,07,0.0,1.86
-4.48333,48.400002,2022,01,11,08,0.0,1.86
-4.48333,48.400002,2022,01,11,09,34.33,1.52
-4.48333,48.400002,2022,01,11,10,76.56,1.38
-4.48333,48.400002,2022,01,11,11,168.07,1.86
-4.48333,48.400002,2022,01,11,12,126.25,2.0
-4.48333,48.400002,2022,01,11,13,138.39,2.0
-4.48333,48.400002,2022,01,11,14,45.51,1.72
-4.48333,48.400002,2022,01,11,15,83.63,1.17
-4.48333,48.400002,2022,01,11,16,8.75,0.55
-4.48333,48.400002,2022,01,11,17,0.0,0.34
-4.48333,48.400002,2022,01,11,18,0.0,0.83
-4.48333,48.400002,2022,01,11,19,0.0,1.52
-4.48333,48.400002,2022,01,11,20,0.0,1.72
-4.48333,48.400002,2022,01,11,21,0.0,1.79
-4.48333,48.400002,2022,01,11,22,0.0,2.14
-4.48333,48.400002,2022,01,11,23,0.0,2.28
-4.48333,48.400002,2022,01,12,00,0.0,2.07
-4.48333,48.400002,2022,01,12,01,0.0,2.0
-4.48333,48.400002,2022,01,12,02,0.0,2.41
-4.48333,48.400002,2022,01,12,03,0.0,2.55
-4.48333,48.400002,2022,01,12,04,0.0,2.41
-4.48333,48.400002,2022,01,12,05,0.0,2.41
-4.48333,48.400002,2022,01,12,06,0.0,2.76
-4.48333,48.400002,2022,01,12,07,0.0,3.24
-4.48333,48.400002,2022,01,12,08,0.0,3.24
-4.48333,48.400002,2022,01,12,09,37.75,3.31
-4.48333,48.400002,2022,01,12,10,96.19,3.93
-4.48333,48.400002,2022,01,12,11,78.89,4.14
-4.48333,48.400002,2022,01,12,12,78.84,3.86
-4.48333,48.400002,2022,01,12,13,67.0,3.59
-4.48333,48.400002,2022,01,12,14,74.66,3.45
-4.48333,48.400002,2022,01,12,15,61.96,2.97
-4.48333,48.400002,2022,01,12,16,6.23,2.55
-4.48333,48.400002,2022,01,12,17,0.0,2.41
-4.48333,48.400002,2022,01,12,18,0.0,2.41
-4.48333,48.400002,2022,01,12,19,0.0,3.24
-4.48333,48.400002,2022,01,12,20,0.0,3.03
-4.48333,48.400002,2022,01,12,21,0.0,2.97
-4.48333,48.400002,2022,01,12,22,0.0,2.55
-4.48333,48.400002,2022,01,12,23,0.0,2.28
-4.48333,48.400002,2022,01,13,00,0.0,2.34
-4.48333,48.400002,2022,01,13,01,0.0,2.28
-4.48333,48.400002,2022,01,13,02,0.0,2.41
-4.48333,48.400002,2022,01,13,03,0.0,2.62
-4.48333,48.400002,2022,01,13,04,0.0,2.76
-4.48333,48.400002,2022,01,13,05,0.0,2.62
-4.48333,48.400002,2022,01,13,06,0.0,2.48
-4.48333,48.400002,2022,01,13,07,0.0,3.31
-4.48333,48.400002,2022,01,13,08,0.0,3.38
-4.48333,48.400002,2022,01,13,09,58.69,3.31
-4.48333,48.400002,2022,01,13,10,168.64,3.59
-4.48333,48.400002,2022,01,13,11,221.3,3.24
-4.48333,48.400002,2022,01,13,12,298.61,2.9
-4.48333,48.400002,2022,01,13,13,270.28,2.62
-4.48333,48.400002,2022,01,13,14,209.15,2.48
-4.48333,48.400002,2022,01,13,15,114.92,2.41
-4.48333,48.400002,2022,01,13,16,12.49,2.41
